<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГАЗПРОМ ао;W;01/04/19;00:00;158.6;147758270
ГАЗПРОМ ао;W;08/04/19;00:00;159.12;179263560
ГАЗПРОМ ао;W;15/04/19;00:00;162.57;97663470
ГАЗПРОМ ао;W;22/04/19;00:00;161;89206090
ГАЗПРОМ ао;W;29/04/19;00:00;166.31;96456320
ГАЗПРОМ ао;W;06/05/19;00:00;163.61;68983040
ГАЗПРОМ ао;W;13/05/19;00:00;198.89;484362340
ГАЗПРОМ ао;W;20/05/19;00:00;204.5;236745760
ГАЗПРОМ ао;W;27/05/19;00:00;215.1;253202920
ГАЗПРОМ ао;W;03/06/19;00:00;230.5;466025800
ГАЗПРОМ ао;W;10/06/19;00:00;231.51;136324420
ГАЗПРОМ ао;W;17/06/19;00:00;229.09;188409560
ГАЗПРОМ ао;W;24/06/19;00:00;232.83;127599560
ГАЗПРОМ ао;W;01/07/19;00:00;250.89;235905210
ГАЗПРОМ ао;W;08/07/19;00:00;245.5;169510860
ГАЗПРОМ ао;W;15/07/19;00:00;216;177193550
ГАЗПРОМ ао;W;22/07/19;00:00;234.23;462863550
ГАЗПРОМ ао;W;29/07/19;00:00;227.91;230561880
ГАЗПРОМ ао;W;05/08/19;00:00;229.96;181750860
ГАЗПРОМ ао;W;12/08/19;00:00;224.71;144386150
ГАЗПРОМ ао;W;19/08/19;00:00;229.35;129778540
ГАЗПРОМ ао;W;26/08/19;00:00;232.15;169144530
ГАЗПРОМ ао;W;02/09/19;00:00;234.49;122285150
ГАЗПРОМ ао;W;09/09/19;00:00;232.5;114796890
ГАЗПРОМ ао;W;16/09/19;00:00;230.41;136065660
ГАЗПРОМ ао;W;23/09/19;00:00;229.01;115291730
ГАЗПРОМ ао;W;30/09/19;00:00;221.66;127116720
ГАЗПРОМ ао;W;07/10/19;00:00;227.37;92626540
ГАЗПРОМ ао;W;14/10/19;00:00;228;88637330
ГАЗПРОМ ао;W;21/10/19;00:00;246.71;188447810
ГАЗПРОМ ао;W;28/10/19;00:00;263.79;344314050
ГАЗПРОМ ао;W;04/11/19;00:00;266;164180970
ГАЗПРОМ ао;W;11/11/19;00:00;248.01;409151500
ГАЗПРОМ ао;W;18/11/19;00:00;251.99;633616780
ГАЗПРОМ ао;W;25/11/19;00:00;257.54;238665410
ГАЗПРОМ ао;W;02/12/19;00:00;247.83;311550150
ГАЗПРОМ ао;W;09/12/19;00:00;249.5;218995520
ГАЗПРОМ ао;W;16/12/19;00:00;255.5;188163560
ГАЗПРОМ ао;W;23/12/19;00:00;257.11;108528450
ГАЗПРОМ ао;W;30/12/19;00:00;259;57982740
ГАЗПРОМ ао;W;06/01/20;00:00;251.9;115551470
ГАЗПРОМ ао;W;13/01/20;00:00;255.39;198867470
ГАЗПРОМ ао;W;20/01/20;00:00;237.95;238814850
ГАЗПРОМ ао;W;27/01/20;00:00;226.7;355510540
ГАЗПРОМ ао;W;03/02/20;00:00;229.11;254241130
ГАЗПРОМ ао;W;10/02/20;00:00;232.5;306079150
ГАЗПРОМ ао;W;17/02/20;00:00;232;139096050
ГАЗПРОМ ао;W;24/02/20;00:00;202.65;369133200
ГАЗПРОМ ао;W;02/03/20;00:00;188.27;532507900
ГАЗПРОМ ао;W;09/03/20;00:00;166.1;608605680
ГАЗПРОМ ао;W;16/03/20;00:00;176.26;592330300
ГАЗПРОМ ао;W;23/03/20;00:00;174.5;423020080
ГАЗПРОМ ао;W;30/03/20;00:00;189.77;338418390
ГАЗПРОМ ао;W;06/04/20;00:00;192;280588040
ГАЗПРОМ ао;W;13/04/20;00:00;184.68;228056850
ГАЗПРОМ ао;W;20/04/20;00:00;185.71;226236880
ГАЗПРОМ ао;W;27/04/20;00:00;190;196191670
ГАЗПРОМ ао;W;04/05/20;00:00;185.34;257313530
ГАЗПРОМ ао;W;11/05/20;00:00;183.85;180588680
ГАЗПРОМ ао;W;18/05/20;00:00;194.35;327020010
ГАЗПРОМ ао;W;25/05/20;00:00;199.95;354230340
ГАЗПРОМ ао;W;01/06/20;00:00;203.05;281963000
ГАЗПРОМ ао;W;08/06/20;00:00;196.74;166037290
ГАЗПРОМ ао;W;15/06/20;00:00;195.81;223374910
ГАЗПРОМ ао;W;22/06/20;00:00;193;180112960
ГАЗПРОМ ао;W;29/06/20;00:00;197.2;158775720
ГАЗПРОМ ао;W;06/07/20;00:00;200.94;192054230
ГАЗПРОМ ао;W;13/07/20;00:00;184.65;275163160
ГАЗПРОМ ао;W;20/07/20;00:00;185.45;157483580
ГАЗПРОМ ао;W;27/07/20;00:00;182.59;156353090
ГАЗПРОМ ао;W;03/08/20;00:00;187.23;208269850
ГАЗПРОМ ао;W;10/08/20;00:00;192.83;179470870
ГАЗПРОМ ао;W;17/08/20;00:00;184.51;186588050
ГАЗПРОМ ао;W;24/08/20;00:00;182.9;141823320
ГАЗПРОМ ао;W;31/08/20;00:00;184.22;95513030
Сбербанк;W;03/09/18;00:00;174.9;250527130
Сбербанк;W;10/09/18;00:00;188.71;587404010
Сбербанк;W;17/09/18;00:00;193.44;453879050
Сбербанк;W;24/09/18;00:00;203.32;431220610
Сбербанк;W;01/10/18;00:00;187.2;401428000
Сбербанк;W;08/10/18;00:00;191.85;424418420
Сбербанк;W;15/10/18;00:00;183.8;343654980
Сбербанк;W;22/10/18;00:00;181;450552890
Сбербанк;W;29/10/18;00:00;192.6;336399850
Сбербанк;W;05/11/18;00:00;195.75;355373930
Сбербанк;W;12/11/18;00:00;199.26;372882720
Сбербанк;W;19/11/18;00:00;197.3;276142380
Сбербанк;W;26/11/18;00:00;194;416255450
Сбербанк;W;03/12/18;00:00;195.01;318162900
Сбербанк;W;10/12/18;00:00;184.93;284493370
Сбербанк;W;17/12/18;00:00;186.79;350928790
Сбербанк;W;24/12/18;00:00;186.3;193975710
Сбербанк;W;31/12/18;00:00;190.99;72832550
Сбербанк;W;07/01/19;00:00;196.8;229754300
Сбербанк;W;14/01/19;00:00;208.44;294785180
Сбербанк;W;21/01/19;00:00;212;324031980
